Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
d-9,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/44678259802299826297792404178161383902055293615061280098192302825358511394240,2022-04-29 21:59:30,2022-04-29 21:59:30,2022-06-05 10:34:25,2022-09-03 10:34:25,2022-09-24 10:34:25
e-0,0xccf2899cf1188800d40d33d10e68adfed38c2f9f,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/39215266390060106760125718508615860833235281793733750817578637244670175492839,2022-04-30 14:44:38,2022-04-30 14:44:38,2023-04-30 20:33:50,2023-07-29 20:33:50,2023-08-19 20:33:50
e-1,0xd45125bd92fa856f54498bb14b6f4addaad0c9c0,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/75214866615645810952262204125742555393374286749536594530036467496465545709499,2022-04-30 05:50:11,2022-04-30 05:50:11,2022-06-05 18:25:06,2022-09-03 18:25:06,2022-09-24 18:25:06
e-2,0x4f9486776aa2fe912353cbd9906ff1abc629035f,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/363793973316812231978390280455590589437428152056434323110222914879814047347,2022-04-30 17:27:07,2022-04-30 17:27:07,2023-04-30 23:16:19,2023-07-29 23:16:19,2023-08-19 23:16:19
e-3,0xbefc4cfe12f83e559e0d3959c972cca6d404510e,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/35210217502612047069376784438144009076855340589255958212137724931592165038021,2022-04-30 15:42:08,2022-04-30 15:42:08,2023-04-30 21:31:20,2023-07-29 21:31:20,2023-08-19 21:31:20
e-4,0x2384040345a48a9766e94ffb97c2c9a63db7a635,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/68410362377917557417321801830638344523773391494395746312157896015660631682934,2022-04-30 12:46:07,2022-04-30 12:46:07,2022-06-06 01:21:02,2022-09-04 01:21:02,2022-09-25 01:21:02
e-5,0x5e624a7ad13b5c01d547b1a95a386d1f6147bf56,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/81596469255779533290945835875770182643911450494506823362302150441143998778374,2022-05-01 10:16:43,2022-05-01 10:16:43,2022-06-06 22:51:38,2022-09-04 22:51:38,2022-09-25 22:51:38
e-6,0x5e624a7ad13b5c01d547b1a95a386d1f6147bf56,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/49835647706614986648120615052953208642384305716160301113911218576962145564659,2022-05-01 10:18:04,2022-05-01 10:18:04,2022-06-06 22:52:59,2022-09-04 22:52:59,2022-09-25 22:52:59
e-7,0x164adf4993598fad93e769fc897a0c1895b4c935,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/71359141090879421361358016055942696653966069335733978089168326736201532531219,2022-05-01 10:04:10,2022-05-01 10:04:10,2022-06-06 22:39:05,2022-09-04 22:39:05,2022-09-25 22:39:05
e-8,0xf8442ae38a8246f425b7928fb60fd61bbdf5d459,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/98013678793295436248999472876030257859663570910587069934964455553565884592476,2022-04-30 05:53:47,2022-04-30 05:53:47,2022-06-05 18:28:42,2022-09-03 18:28:42,2022-09-24 18:28:42
e-9,0x5e624a7ad13b5c01d547b1a95a386d1f6147bf56,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/74486700390885858845572170268417347078079301830684566917866602050060511700879,2022-05-01 10:18:32,2022-05-01 10:18:32,2022-06-06 22:53:27,2022-09-04 22:53:27,2022-09-25 22:53:27
f-0,0xc6fc5ddf84e36cf8a356ef5b1035e57bc59e0393,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/101936146897915701551304348126981444667140769214862389212250535847488752152159,2022-04-30 04:22:30,2022-04-30 04:22:30,2022-06-05 16:57:25,2022-09-03 16:57:25,2022-09-24 16:57:25
f-1,0xed27ab90b02316889b33e7ecc74caac39653a8ec,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/87468245044518349400071866763917028197130324816042149364784495863766450014458,2022-04-27 13:27:11,2022-04-27 13:27:11,2023-04-27 19:16:23,2023-07-26 19:16:23,2023-08-16 19:16:23
f-2,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/37881568265106742644804883850522035776099236471585642869166261107619155851906,2022-04-29 22:30:48,2022-04-29 22:30:48,2022-06-05 11:05:43,2022-09-03 11:05:43,2022-09-24 11:05:43
f-3,0x0fc31b446b290abf25ebdb607eac4b86d9208d61,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/2025588397186775201376485894927394864475589380202417838025122408771304678998,2022-04-29 23:51:09,2022-04-29 23:51:09,2022-06-05 12:26:04,2022-09-03 12:26:04,2022-09-24 12:26:04
f-4,0x689afea63c2a6275a3ca238cf8f31332226de65c,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/92152053662064943347628484851298422482094790728252342992401711806368334227661,2022-04-30 03:48:35,2022-04-30 03:48:35,2023-04-30 09:37:47,2023-07-29 09:37:47,2023-08-19 09:37:47
f-5,0xf1a06ebabb728773f48ee48be7049bb441faef84,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/89791876926107030986405505443167276202030057215055289835585355856458654127804,2022-04-29 23:45:22,2022-04-29 23:45:22,2023-04-30 05:34:34,2023-07-29 05:34:34,2023-08-19 05:34:34
f-6,0x86649d69a96e82b346c1cb31ff7fafb00ec8983d,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/62314057105880622697985826880755666407917710992990738370337720995686379500057,2022-05-01 10:15:20,2022-05-01 10:15:20,2022-06-06 22:50:15,2022-09-04 22:50:15,2022-09-25 22:50:15
f-7,0xa370ec823ba1c0cce6c44030176ebee206067e58,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/86806877622061908597134486494033587067457735805347765572590860163638847582264,2022-04-29 21:20:18,2022-04-29 21:20:18,2022-06-05 09:55:13,2022-09-03 09:55:13,2022-09-24 09:55:13
f-8,0x4125ee252abb4c2928d92fb702e86d0ab73cd37b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/33954891488810782983026283318394065407064140977819777846217557072884386079582,2022-04-29 21:57:37,2022-04-29 21:57:37,2022-09-23 00:17:17,2022-12-22 00:17:17,2023-01-12 00:17:17
f-9,0x689afea63c2a6275a3ca238cf8f31332226de65c,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/1933890207551476678890724896772597175019548197127748883927242771184346488668,2022-04-30 03:58:48,2022-04-30 03:58:48,2022-06-05 16:33:43,2022-09-03 16:33:43,2022-09-24 16:33:43
g-0,0x0075601db47c244cf3a3cda72f64a0e3fe12dd12,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/5643207550893173057987290328792636778924304696895002268466823763586203330102,2022-04-30 02:10:48,2022-04-30 02:10:48,2022-06-05 14:45:43,2022-09-03 14:45:43,2022-09-24 14:45:43
g-1,0x0fc31b446b290abf25ebdb607eac4b86d9208d61,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/93527526403517519912628993179267276162308220901049529339660573015864366444403,2022-04-30 00:04:31,2022-04-30 00:04:31,2022-06-05 12:39:26,2022-09-03 12:39:26,2022-09-24 12:39:26
g-2,0x22d9c91868b079a4b4af5935fb2bec23c9a60da4,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/19458990413574853539793733121162094898356123083779067388225433176284084655898,2022-04-30 13:38:29,2022-04-30 13:38:29,2023-04-30 19:27:41,2023-07-29 19:27:41,2023-08-19 19:27:41
g-3,0x4122ac127311bb4bd22cec65ae3a8007d8ab9489,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/103821527469633987775885339201570321612570526794496742581079352910417375448227,2022-04-30 14:07:38,2022-04-30 14:07:38,2023-04-30 19:56:50,2023-07-29 19:56:50,2023-08-19 19:56:50
g-4,0xddbe46db3be5132942755df67557012b08e06e76,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/47337131797695643506312206737846915898842765966106481013577990598571941222443,2022-04-30 16:21:54,2022-04-30 16:21:54,2023-04-30 22:11:06,2023-07-29 22:11:06,2023-08-19 22:11:06
g-5,0x122c2f601a2f47b4ccab68a838213b1036485d68,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/107873366015702777186682894544432391378262484564483061011626836485469278928030,2022-04-29 22:14:07,2022-04-29 22:14:07,2022-06-05 10:49:02,2022-09-03 10:49:02,2022-09-24 10:49:02
g-6,0x4125ee252abb4c2928d92fb702e86d0ab73cd37b,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/77750646955712601817233334041875250162095821762692592433237724646001562629608,2022-04-29 21:00:23,2022-04-29 21:00:23,2023-04-30 02:49:35,2023-07-29 02:49:35,2023-08-19 02:49:35
