Number Held,Address,Opensea
231,0x87c36ea040e8f4e5a4c0be426514484567d190db,https://opensea.io/0x87c36ea040e8f4e5a4c0be426514484567d190db
198,0x534676aab33604220e9db77b09f914b1d3316c21,https://opensea.io/0x534676aab33604220e9db77b09f914b1d3316c21
105,0x24f78d1baadc1b4e1822e2619059415c34261b64,https://opensea.io/0x24f78d1baadc1b4e1822e2619059415c34261b64
68,0xd484d3f381e257b323f45fc4d813cd28df184625,https://opensea.io/0xd484d3f381e257b323f45fc4d813cd28df184625
44,0x5b926bc7737369d6445dd50f03f870eb9cc901be,https://opensea.io/0x5b926bc7737369d6445dd50f03f870eb9cc901be
44,0x32869721ef080442ec128fc1ddb6673006bc5aa9,https://opensea.io/0x32869721ef080442ec128fc1ddb6673006bc5aa9
36,0x3ae462ad6159dd6d32e7315c53e524304a1e814c,https://opensea.io/0x3ae462ad6159dd6d32e7315c53e524304a1e814c
34,0x470f5469aeaca55b7b415d14f5707278bddbbffe,https://opensea.io/0x470f5469aeaca55b7b415d14f5707278bddbbffe
29,0x2a6c7cba94910c918738e717885d8c565e7a7776,https://opensea.io/0x2a6c7cba94910c918738e717885d8c565e7a7776
28,0xef0b939361a6403c86ecb22e90e344605018e7ff,https://opensea.io/0xef0b939361a6403c86ecb22e90e344605018e7ff
25,0x522854311f30f812cbd7f7cae27d8b6a5f25b67e,https://opensea.io/0x522854311f30f812cbd7f7cae27d8b6a5f25b67e
24,0x14e9ad62243cd8d4909265020bc1eaafe3757af1,https://opensea.io/0x14e9ad62243cd8d4909265020bc1eaafe3757af1
22,0xf08e1202e2283741b5a9518d176d4768b03ab51a,https://opensea.io/0xf08e1202e2283741b5a9518d176d4768b03ab51a
22,0x588778f1a7e07366dd9e47f69baefbe35d291221,https://opensea.io/0x588778f1a7e07366dd9e47f69baefbe35d291221
21,0x39f52180e71dbbae7e1b03cbb557f2ac3e7ac8df,https://opensea.io/0x39f52180e71dbbae7e1b03cbb557f2ac3e7ac8df
20,0x3a1271284ba4a1c01ed016128738005131314b4a,https://opensea.io/0x3a1271284ba4a1c01ed016128738005131314b4a
20,0x357fd125e734a5f4df97e0cd909ff3ebc59c784a,https://opensea.io/0x357fd125e734a5f4df97e0cd909ff3ebc59c784a
20,0xfd6afe0b7da5d870c33490595040fd1a20868caa,https://opensea.io/0xfd6afe0b7da5d870c33490595040fd1a20868caa
20,0x5571b0fccbae817a57f62f365034e9354268cefd,https://opensea.io/0x5571b0fccbae817a57f62f365034e9354268cefd
18,0x0e039779806a07a0114dd6298345cbb8fbf91697,https://opensea.io/0x0e039779806a07a0114dd6298345cbb8fbf91697
17,0x33236e7297be3b0264e65e56692968de3bfb8d37,https://opensea.io/0x33236e7297be3b0264e65e56692968de3bfb8d37
17,0xa182eae4440a7256c2e706df134aaa87034964f8,https://opensea.io/0xa182eae4440a7256c2e706df134aaa87034964f8
16,0x3f763e0e20973f69f8fed7f12caddd12d7f23df4,https://opensea.io/0x3f763e0e20973f69f8fed7f12caddd12d7f23df4
16,0xd30ca681d6c030e3f118612e3a92ceabbfee2cf0,https://opensea.io/0xd30ca681d6c030e3f118612e3a92ceabbfee2cf0
15,0x7d7d5680a9e040d43bb43d9cdb41ae758aad83ac,https://opensea.io/0x7d7d5680a9e040d43bb43d9cdb41ae758aad83ac
14,0x94ee6e37da099c0e45b2714347714826ba1abb7b,https://opensea.io/0x94ee6e37da099c0e45b2714347714826ba1abb7b
13,0xa1d0f1acc931cfd905e45a73be1923027a942900,https://opensea.io/0xa1d0f1acc931cfd905e45a73be1923027a942900
13,0x4df1f074414c97768cca71aa2d04911642006958,https://opensea.io/0x4df1f074414c97768cca71aa2d04911642006958
13,0x31b3f129e943b498ebd6a82faeab5ae5ea9376b8,https://opensea.io/0x31b3f129e943b498ebd6a82faeab5ae5ea9376b8
13,0x55bf434e8468dad01d08a409265c7a25e40c781d,https://opensea.io/0x55bf434e8468dad01d08a409265c7a25e40c781d
13,0xc4dec9c3f308bf14d019a545938f5d772c2493fc,https://opensea.io/0xc4dec9c3f308bf14d019a545938f5d772c2493fc
13,0xe06edbe967ce67c103747f56961d6e81dbed9d46,https://opensea.io/0xe06edbe967ce67c103747f56961d6e81dbed9d46
12,0xc62abcf1f6ec4627708d0a827a21f18e2e904ca1,https://opensea.io/0xc62abcf1f6ec4627708d0a827a21f18e2e904ca1
12,0xdb9215abf31d91797ff0b785a047ca419f2e92de,https://opensea.io/0xdb9215abf31d91797ff0b785a047ca419f2e92de
12,0xa38bda28ff9de06a9651a0c85f9d52772478b421,https://opensea.io/0xa38bda28ff9de06a9651a0c85f9d52772478b421
12,0x9f527af4f8f76a898a21aa9f89bd9006e625f13d,https://opensea.io/0x9f527af4f8f76a898a21aa9f89bd9006e625f13d
11,0xc0d1212b52da5ed44b19f4328f5fe7708f825d81,https://opensea.io/0xc0d1212b52da5ed44b19f4328f5fe7708f825d81
11,0x599cf71b9bc13cb71a08b46c601d94b786c43030,https://opensea.io/0x599cf71b9bc13cb71a08b46c601d94b786c43030
11,0x2384040345a48a9766e94ffb97c2c9a63db7a635,https://opensea.io/0x2384040345a48a9766e94ffb97c2c9a63db7a635
10,0x5b78c2f8db6c5bf921de7999482c27c7bae27862,https://opensea.io/0x5b78c2f8db6c5bf921de7999482c27c7bae27862
10,0x48b88faf3b4bd634189364e7a7c1e8b8a3a5eeb2,https://opensea.io/0x48b88faf3b4bd634189364e7a7c1e8b8a3a5eeb2
10,0xf7351629dd5fcebe7a2e6b4df0837a27ee927f59,https://opensea.io/0xf7351629dd5fcebe7a2e6b4df0837a27ee927f59
10,0x7e52a3454c45bbed921757a33ccce379399d5afb,https://opensea.io/0x7e52a3454c45bbed921757a33ccce379399d5afb
9,0x56eda59cfaa1911ab58f84dd8a16b3ef8227400e,https://opensea.io/0x56eda59cfaa1911ab58f84dd8a16b3ef8227400e
9,0x25d4a755fff15c583c875b7b4e57567dacd5915a,https://opensea.io/0x25d4a755fff15c583c875b7b4e57567dacd5915a
9,0xc23485ae4315c409f0175a782841e0f10f12b0ac,https://opensea.io/0xc23485ae4315c409f0175a782841e0f10f12b0ac
9,0xddff75788c4cb7e69259d7a5999c5588b16ef26c,https://opensea.io/0xddff75788c4cb7e69259d7a5999c5588b16ef26c
8,0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,https://opensea.io/0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45
8,0x58102da531738519d94ab6d1c7f6bdf31a685668,https://opensea.io/0x58102da531738519d94ab6d1c7f6bdf31a685668
8,0x424122ed8daaa2fc5c26d40ef2a8984538683755,https://opensea.io/0x424122ed8daaa2fc5c26d40ef2a8984538683755
8,0x25a7a83d0431e0046887e3168a52516042e7fe56,https://opensea.io/0x25a7a83d0431e0046887e3168a52516042e7fe56
8,0xef575844bfe8c7872a8ccc9fb2af8318c1550fad,https://opensea.io/0xef575844bfe8c7872a8ccc9fb2af8318c1550fad
8,0x7c51d3d32825f96138905c2b91985ba0b8a1fcc0,https://opensea.io/0x7c51d3d32825f96138905c2b91985ba0b8a1fcc0
7,0x5b282b555c8fcbd2ab708d67a83b425b1f36ee2f,https://opensea.io/0x5b282b555c8fcbd2ab708d67a83b425b1f36ee2f
7,0x63021adbc4550fcf21bdf2f06221f1493fd248f5,https://opensea.io/0x63021adbc4550fcf21bdf2f06221f1493fd248f5
7,0x594bc724e4d2b54dd690ef30f86e599003a9eb27,https://opensea.io/0x594bc724e4d2b54dd690ef30f86e599003a9eb27
7,0x8388bb240e7c36782d6bf24ce9a245931fa9c3e4,https://opensea.io/0x8388bb240e7c36782d6bf24ce9a245931fa9c3e4
7,0x3710a61ce822f41d5eee8d777124fb2c7cc78a81,https://opensea.io/0x3710a61ce822f41d5eee8d777124fb2c7cc78a81
