Name,Length,Status,Premium,URL,Registered,Expires,Grace Period Ends,Price Premium Ends
yyoo,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/92656011033834962310365914677644472546027248201200806357660098831045504169168,2022-05-02 23:35:48,2023-05-03 05:25:00,2023-08-01 05:25:00,2023-08-22 05:25:00
yypp,4,Never Registered,,https://app.ens.domains/name/yypp.eth/register,,,,
yyqq,4,Never Registered,,https://app.ens.domains/name/yyqq.eth/register,,,,
yyrr,4,Never Registered,,https://app.ens.domains/name/yyrr.eth/register,,,,
yyss,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/93039518772004432398662294635521126444943282023178224672663282840852356230859,2022-03-15 20:33:26,2023-03-16 02:22:38,2023-06-14 02:22:38,2023-07-05 02:22:38
yytt,4,Never Registered,,https://app.ens.domains/name/yytt.eth/register,,,,
yyuu,4,Never Registered,,https://app.ens.domains/name/yyuu.eth/register,,,,
yyvv,4,Never Registered,,https://app.ens.domains/name/yyvv.eth/register,,,,
yyww,4,Never Registered,,https://app.ens.domains/name/yyww.eth/register,,,,
yyxx,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/65241372089362856996581765977265224934990717645138326903198773406193188817543,2022-05-02 21:54:33,2024-05-02 09:32:57,2024-07-31 09:32:57,2024-08-21 09:32:57
yyzz,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/74054046939904771751156221784155608998299030007283365397368306347327997547965,2022-05-03 00:27:03,2023-05-03 06:16:15,2023-08-01 06:16:15,2023-08-22 06:16:15
zzaa,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/111118448574119359711980254537908825114462829492327260114511686536922796897066,2022-05-02 23:39:00,2023-05-03 05:28:12,2023-08-01 05:28:12,2023-08-22 05:28:12
zzbb,4,Never Registered,,https://app.ens.domains/name/zzbb.eth/register,,,,
zzcc,4,Never Registered,,https://app.ens.domains/name/zzcc.eth/register,,,,
zzdd,4,Never Registered,,https://app.ens.domains/name/zzdd.eth/register,,,,
zzee,4,Never Registered,,https://app.ens.domains/name/zzee.eth/register,,,,
zzff,4,Never Registered,,https://app.ens.domains/name/zzff.eth/register,,,,
zzgg,4,Never Registered,,https://app.ens.domains/name/zzgg.eth/register,,,,
zzhh,4,Never Registered,,https://app.ens.domains/name/zzhh.eth/register,,,,
zzii,4,Never Registered,,https://app.ens.domains/name/zzii.eth/register,,,,
zzjj,4,Never Registered,,https://app.ens.domains/name/zzjj.eth/register,,,,
zzkk,4,Never Registered,,https://app.ens.domains/name/zzkk.eth/register,,,,
zzll,4,Never Registered,,https://app.ens.domains/name/zzll.eth/register,,,,
zzmm,4,Never Registered,,https://app.ens.domains/name/zzmm.eth/register,,,,
zznn,4,Never Registered,,https://app.ens.domains/name/zznn.eth/register,,,,
zzoo,4,Never Registered,,https://app.ens.domains/name/zzoo.eth/register,,,,
zzpp,4,Never Registered,,https://app.ens.domains/name/zzpp.eth/register,,,,
zzqq,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/100659263877322600323771706510642408768535532572672522912228036147078205681858,2022-05-05 22:15:16,2023-05-06 04:04:28,2023-08-04 04:04:28,2023-08-25 04:04:28
zzrr,4,Never Registered,,https://app.ens.domains/name/zzrr.eth/register,,,,
zzss,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/21003486704375423845620941690368058530425230588774757615758763569072233503728,2022-05-02 15:59:52,2023-05-31 00:47:09,2023-08-29 00:47:09,2023-09-19 00:47:09
zztt,4,Never Registered,,https://app.ens.domains/name/zztt.eth/register,,,,
zzuu,4,Never Registered,,https://app.ens.domains/name/zzuu.eth/register,,,,
zzvv,4,Never Registered,,https://app.ens.domains/name/zzvv.eth/register,,,,
zzww,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/27227740415669970910407036931709593792353485850983251168241687206869071215829,2021-12-03 10:08:22,2022-12-03 15:57:34,2023-03-03 15:57:34,2023-03-24 15:57:34
zzxx,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/60632523435871273826819552170184520111880493940601983613788572696526721241622,2022-05-01 03:17:01,2023-05-01 09:06:13,2023-07-30 09:06:13,2023-08-20 09:06:13
zzyy,4,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/86807618501026524596002685739668936720407303595812100632285043303095443972836,2022-05-04 05:34:47,2024-05-03 17:13:11,2024-08-01 17:13:11,2024-08-22 17:13:11
