Number Held,Address,Opensea
398,0xbcbd4885ee8b2b74249c5ad9b8b668fb256a51b1,https://opensea.io/0xbcbd4885ee8b2b74249c5ad9b8b668fb256a51b1
345,0x2b6247079ddd8e81b34093e911284253bd455ef6,https://opensea.io/0x2b6247079ddd8e81b34093e911284253bd455ef6
299,0x86a41524cb61edd8b115a72ad9735f8068996688,https://opensea.io/0x86a41524cb61edd8b115a72ad9735f8068996688
281,0xe2faa63f2351c6f2b88659f2fffc2167172d329a,https://opensea.io/0xe2faa63f2351c6f2b88659f2fffc2167172d329a
266,0xab48edd90bdf367d326d827758bacd2460c59d17,https://opensea.io/0xab48edd90bdf367d326d827758bacd2460c59d17
212,0xdc8d255e709edf2ed2622b2691e8ed9a71abb59e,https://opensea.io/0xdc8d255e709edf2ed2622b2691e8ed9a71abb59e
192,0xae3c9636de4005cb1a0c3aa94e53152a60330388,https://opensea.io/0xae3c9636de4005cb1a0c3aa94e53152a60330388
188,0xddd3964d75d59b6b6d5c31eb313bba5ebf076364,https://opensea.io/0xddd3964d75d59b6b6d5c31eb313bba5ebf076364
173,0xb9babc213edc3bc98ba20a269c1fa98208db0f31,https://opensea.io/0xb9babc213edc3bc98ba20a269c1fa98208db0f31
141,0xe68e8cc7ff772b026c062b9cc28246676d044947,https://opensea.io/0xe68e8cc7ff772b026c062b9cc28246676d044947
126,0xae1e3f3fd676a098c9940c240642a2f30424471d,https://opensea.io/0xae1e3f3fd676a098c9940c240642a2f30424471d
109,0xc837b11c37408b64434bc535798f2ac33e73a817,https://opensea.io/0xc837b11c37408b64434bc535798f2ac33e73a817
105,0x7265a60acaeaf3a5e18e10bc1128e72f27b2e176,https://opensea.io/0x7265a60acaeaf3a5e18e10bc1128e72f27b2e176
98,0xbb46be602d82f3209b6392130b5bbd40d78df339,https://opensea.io/0xbb46be602d82f3209b6392130b5bbd40d78df339
98,0xe2ca7390e76c5a992749bb622087310d2e63ca29,https://opensea.io/0xe2ca7390e76c5a992749bb622087310d2e63ca29
