Name,Current Owner,Length,Status,Premium,URL,Created,Registered,Expires,Grace Period Ends,Price Premium Ends
5x3,0x37d8ae1487616819724e834af023726d710a0dac,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/82821558580533219522287800945522792833827172224787898977165336199378251545749,2022-05-02 10:55:33,2022-05-02 10:55:33,2022-06-07 23:30:28,2022-09-05 23:30:28,2022-09-26 23:30:28
5x4,0x6696e1e7546fad9f5146bd4f839f22ff97608926,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/15473340975812374508510950078941119729893919486726285529261454466903223543720,2022-05-01 21:10:11,2022-05-01 21:10:11,2022-05-29 21:30:29,2022-08-27 21:30:29,2022-09-17 21:30:29
5x5,0xedadfda063374ca9f7f7ddc0873e75c437dd6e4a,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/33237700307456155177680135226101895783261848994801612379602745065102401617579,2021-11-12 02:44:56,2021-11-12 02:44:56,2022-11-12 08:34:08,2023-02-10 08:34:08,2023-03-03 08:34:08
5x6,0xe5897e2fee2eb0ea537606e7b8dd9b0a85a9b626,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/47584747649846592587929402311798429536648743068302734152168943404475197166942,2022-05-01 21:21:06,2022-05-01 21:21:06,2022-05-30 01:11:46,2022-08-28 01:11:46,2022-09-18 01:11:46
5x7,0x37d8ae1487616819724e834af023726d710a0dac,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/93058084027933876673456356180284399342209175959200180772278107451546746228954,2022-05-02 13:47:38,2022-05-02 13:47:38,2022-06-08 02:22:33,2022-09-06 02:22:33,2022-09-27 02:22:33
5x8,0x6696e1e7546fad9f5146bd4f839f22ff97608926,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/107379413194757277578473202125238059327947035154829786486752739710020201714535,2022-05-01 21:10:06,2022-05-01 21:10:06,2022-05-29 21:30:24,2022-08-27 21:30:24,2022-09-17 21:30:24
5x9,0x37d8ae1487616819724e834af023726d710a0dac,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/94375676180722291478130060448984911314137609849617255373151601466514376790754,2022-05-02 14:04:27,2022-05-02 14:04:27,2022-06-08 02:39:22,2022-09-06 02:39:22,2022-09-27 02:39:22
6x0,0x2a050072c686724e73daca2a0f7358b5199c16eb,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/111736993951890682982982673056186504489494969575306977468826930210599035656266,2022-05-02 02:33:03,2022-05-02 02:33:03,2022-05-31 07:48:59,2022-08-29 07:48:59,2022-09-19 07:48:59
6x1,0xe5897e2fee2eb0ea537606e7b8dd9b0a85a9b626,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/46178012840146041108664410622161394455824103905199354965724664480757016683712,2022-05-01 21:23:02,2022-05-01 21:23:02,2022-05-30 01:13:42,2022-08-28 01:13:42,2022-09-18 01:13:42
6x2,0x6696e1e7546fad9f5146bd4f839f22ff97608926,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/41982036518273041438973994094668216244805798811391641589823969524181150862961,2022-05-01 21:10:59,2022-05-01 21:10:59,2022-05-29 21:31:17,2022-08-27 21:31:17,2022-09-17 21:31:17
6x3,0x37d8ae1487616819724e834af023726d710a0dac,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/34091891771849136632933360898057798978501831678893048186854836359450876308765,2022-05-02 13:00:30,2022-05-02 13:00:30,2022-06-08 01:35:25,2022-09-06 01:35:25,2022-09-27 01:35:25
6x4,0x37d8ae1487616819724e834af023726d710a0dac,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/36631259924964332153432285643488071433974219543385592959808132914138819232224,2022-05-02 13:08:38,2022-05-02 13:08:38,2022-06-08 01:43:33,2022-09-06 01:43:33,2022-09-27 01:43:33
6x5,0xe5897e2fee2eb0ea537606e7b8dd9b0a85a9b626,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/101864293321026521239960897261780774065975992293650654237804096441732206557868,2022-05-01 21:31:09,2022-05-01 21:31:09,2022-05-30 00:29:14,2022-08-28 00:29:14,2022-09-18 00:29:14
6x6,0xe809968423551135675f38ca77d9595c5d225918,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/17579542192363229949253148879464077089803605968677529688525551987166497252486,2021-11-22 07:12:49,2021-11-22 07:12:49,2022-11-22 13:02:01,2023-02-20 13:02:01,2023-03-13 13:02:01
6x7,0xe5897e2fee2eb0ea537606e7b8dd9b0a85a9b626,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/66912077010369258422533151865697557463673691389755633165929301795507301952495,2022-05-01 21:22:28,2022-05-01 21:22:28,2022-05-30 01:13:08,2022-08-28 01:13:08,2022-09-18 01:13:08
6x8,0x6696e1e7546fad9f5146bd4f839f22ff97608926,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/41988353126766870533901450769705881687518783535903559465305116446296680896572,2022-05-01 21:10:50,2022-05-01 21:10:50,2022-05-29 21:31:08,2022-08-27 21:31:08,2022-09-17 21:31:08
6x9,0x6a75ac02b0a2f8e016ffda57611540022e5f1e6d,3,Currently Owned,,https://opensea.io/assets/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/11780359511397900740946975580370972441793677517021543036473495530321961562861,2022-01-09 21:06:18,2022-01-09 21:06:18,2023-01-10 02:55:30,2023-04-10 02:55:30,2023-05-01 02:55:30
